ESTIMATED_VALUE_OF_PROJECT,ALTERNATE_BUILDING_TYPE
150000,"SINGLE UNIT DWELLING"
15000,"ACCESSORY BUILDING"
2500,"MULTI-UNIT DWELLING"
200000,"MULTI-UNIT DWELLING"
0,"MULTI COMMERCIAL"
139080,"SINGLE UNIT DWELLING"
350000,OFFICE
75000,BAR/RESTAURANT
14280,TOWNHOUSE
12000,"OTHER RETAIL"
480000,"PARKING STRUCTURE"
50000,"MIXED RES/COMM"
8851814,"MULTI-UNIT DWELLING"
30000,"TWO UNIT DWELLING"
7000,"ACCESSORY BUILDING"
175000,"SINGLE UNIT DWELLING"
18500,"ACCESSORY BUILDING"
20000,OFFICE
38600,"SINGLE UNIT DWELLING"
235000,"SINGLE UNIT DWELLING"
185000,"SINGLE UNIT DWELLING"
6000,"SINGLE UNIT DWELLING"
13000,"ACCESSORY BUILDING"
9000,"SINGLE UNIT DWELLING"
100,"TWO UNIT DWELLING"
0,"MULTI-UNIT DWELLING"
35000,"SINGLE UNIT DWELLING"
0,OFFICE
17500,"ACCESSORY BUILDING"
5000,"SINGLE UNIT DWELLING"
9000000,"PARKING STRUCTURE"
175000,"SINGLE UNIT DWELLING"
175000,"SINGLE UNIT DWELLING"
11500,"ACCESSORY BUILDING"
5909000,WAREHOUSE
400000,"SINGLE UNIT DWELLING"
1500,"MULTI-UNIT DWELLING"
175000,"SINGLE UNIT DWELLING"
6000,TOWNHOUSE
19799,"ACCESSORY BUILDING"
190000,"SINGLE UNIT DWELLING"
250000,"SINGLE UNIT DWELLING"
125000,"SINGLE UNIT DWELLING"
33450,OFFICE
15000,"ACCESSORY BUILDING"
300000,"SINGLE UNIT DWELLING"
2000,"SINGLE UNIT DWELLING"
0,BAR/RESTAURANT
30000,OFFICE
4571,"SINGLE UNIT DWELLING"
187100,"SINGLE UNIT DWELLING"
80000,"SINGLE UNIT DWELLING"
240000,"SINGLE UNIT DWELLING"
150000,"SINGLE UNIT DWELLING"
175000,"SINGLE UNIT DWELLING"
250000,"SINGLE UNIT DWELLING"
395000,"SINGLE UNIT DWELLING"
160000,"SINGLE UNIT DWELLING"
142000,"MULTI-UNIT DWELLING"
250000,"SINGLE UNIT DWELLING"
100000,"SINGLE UNIT DWELLING"
100000,"SINGLE UNIT DWELLING"
330000,"TWO UNIT DWELLING"
45000,BAR/RESTAURANT
0,"OTHER RETAIL"
10000,DAYCARE
7000,"SINGLE UNIT DWELLING"
165000,"SINGLE UNIT DWELLING"
160000,"SINGLE UNIT DWELLING"
160000,"SINGLE UNIT DWELLING"
75000,"SINGLE UNIT DWELLING"
30000,"TWO UNIT DWELLING"
6676,"MOBILE HOME"
20000,"MULTI-UNIT DWELLING"
20000,"ACCESSORY BUILDING"
30000,"TWO UNIT DWELLING"
30000,"TWO UNIT DWELLING"
30000,"TWO UNIT DWELLING"
3000,"SINGLE UNIT DWELLING"
310000,"SINGLE UNIT DWELLING"
2000,"SINGLE UNIT DWELLING"
256000,"SINGLE UNIT DWELLING"
42000,"SINGLE UNIT DWELLING"
0,"MULTI-UNIT DWELLING"
5000,"SINGLE UNIT DWELLING"
30000,"TWO UNIT DWELLING"
4000,"SINGLE UNIT DWELLING"
30000,"TWO UNIT DWELLING"
30000,"TWO UNIT DWELLING"
68000,"MULTI COMMERCIAL"
40000,"SINGLE UNIT DWELLING"
29375,"SINGLE UNIT DWELLING"
0,"MULTI COMMERCIAL"
500000,"SINGLE UNIT DWELLING"
49000,"PLACE OF WORSHIP"
175000,"SINGLE UNIT DWELLING"
260000,"SINGLE UNIT DWELLING"
40000,"SINGLE UNIT DWELLING"
80000,"ACCESSORY BUILDING"
30000,"SINGLE UNIT DWELLING"
250000,"SINGLE UNIT DWELLING"
572426,"SHOPPING CENTRE"
40000,"TWO UNIT DWELLING"
750000,WAREHOUSE
450000,"TWO UNIT DWELLING"
240000,"SINGLE UNIT DWELLING"
213000,"SINGLE UNIT DWELLING"
38000,"SINGLE UNIT DWELLING"
8000,"SINGLE UNIT DWELLING"
70000,"SINGLE UNIT DWELLING"
100,"MULTI-UNIT DWELLING"
50000,"MULTI COMMERCIAL"
50000,WAREHOUSE
8500,"SINGLE UNIT DWELLING"
20000,"SHOPPING CENTRE"
150000,"SINGLE UNIT DWELLING"
275000,"SINGLE UNIT DWELLING"
5000,"MULTI-UNIT DWELLING"
25000,"ACCESSORY BUILDING"
27444,"SINGLE UNIT DWELLING"
40000,"SINGLE UNIT DWELLING"
22000,WAREHOUSE
530000,"SINGLE UNIT DWELLING"
230000,"SINGLE UNIT DWELLING"
4700,"SINGLE UNIT DWELLING"
180000,"SINGLE UNIT DWELLING"
300000,"SINGLE UNIT DWELLING"
14280,"MULTI-UNIT DWELLING"
40000,"SINGLE UNIT DWELLING"
200000,"SINGLE UNIT DWELLING"
2100,"SINGLE UNIT DWELLING"
50000,"SINGLE UNIT DWELLING"
200000,"SINGLE UNIT DWELLING"
100000,"SINGLE UNIT DWELLING"
1500,"MULTI-UNIT DWELLING"
1000,"MULTI-UNIT DWELLING"
70000,BAR/RESTAURANT
385000,WAREHOUSE
6500,"SINGLE UNIT DWELLING"
59500,"MULTI-UNIT DWELLING"
64000,"POST SECONDARY"
320000,"OTHER RETAIL"
80000,"SINGLE UNIT DWELLING"
42000,"MIXED RES/COMM"
5295,"SINGLE UNIT DWELLING"
0,"MIXED RES/COMM"
100000,DAYCARE
300000,"SINGLE UNIT DWELLING"
154300,"SINGLE UNIT DWELLING"
15000,"ACCESSORY BUILDING"
50000,"OTHER RETAIL"
60000,"SINGLE UNIT DWELLING"
300000,"TWO UNIT DWELLING"
250000,"SINGLE UNIT DWELLING"
250000,"TWO UNIT DWELLING"
250000,"TWO UNIT DWELLING"
80000,"SINGLE UNIT DWELLING"
70000,"SINGLE UNIT DWELLING"
175000,"SINGLE UNIT DWELLING"
227858,"MULTI COMMERCIAL"
8000000,"MULTI-UNIT DWELLING"
130000,BAR/RESTAURANT
300000,"SINGLE UNIT DWELLING"
10000,"SINGLE UNIT DWELLING"
280000,"SINGLE UNIT DWELLING"
160000,"MEDICAL OFFICE"
125000,"MEDICAL OFFICE"
15000,"MOBILE HOME"
175000,"OTHER SERVICE"
11000000,"PARKING STRUCTURE"
220000,"OTHER SERVICE"
280000,"SINGLE UNIT DWELLING"
160000,"SINGLE UNIT DWELLING"
250000,"SINGLE UNIT DWELLING"
1365000,"MULTI-UNIT DWELLING"
30000,OFFICE
487400,OFFICE
80000,"FISH PLANT"
22000,"SINGLE UNIT DWELLING"
300000,"ACCESSORY BUILDING"
400000,"SINGLE UNIT DWELLING"
25000,"ACCESSORY BUILDING"
270000,"SINGLE UNIT DWELLING"
280000,"SINGLE UNIT DWELLING"
12500,"SINGLE UNIT DWELLING"
30000,"ACCESSORY BUILDING"
200000,"SINGLE UNIT DWELLING"
400000,"TWO UNIT DWELLING"
320000,"SINGLE UNIT DWELLING"
7000,"MULTI-UNIT DWELLING"
34000,"SINGLE UNIT DWELLING"
291000,"OTHER SERVICE"
0,"COMMUNITY BASED OPTION"
155000,"SINGLE UNIT DWELLING"
0,OFFICE
1200,"TWO UNIT DWELLING"
90000,"MOBILE HOME"
20000,"SINGLE UNIT DWELLING"
60000,"SINGLE UNIT DWELLING"
450000,"SINGLE UNIT DWELLING"
15000,"MULTI-UNIT DWELLING"
8000,"SINGLE UNIT DWELLING"
20000,"ACCESSORY BUILDING"
8000,"SINGLE UNIT DWELLING"
2200,"MULTI-UNIT DWELLING"
0,"OTHER SERVICE"
0,"OTHER SERVICE"
1000,"MULTI-UNIT DWELLING"
18000,"PLACE OF WORSHIP"
31500,"MULTI-UNIT DWELLING"
950000,"MULTI-UNIT DWELLING"
260000,"SINGLE UNIT DWELLING"
200000,"TWO UNIT DWELLING"
150000,"SINGLE UNIT DWELLING"
30000,"SINGLE UNIT DWELLING"
250000,"SINGLE UNIT DWELLING"
22114,"SINGLE UNIT DWELLING"
3400,"ACCESSORY BUILDING"
250000,"SINGLE UNIT DWELLING"
400000,TOWNHOUSE
200000,"TWO UNIT DWELLING"
200000,"TWO UNIT DWELLING"
200000,"TWO UNIT DWELLING"
13000,"SINGLE UNIT DWELLING"
250000,"SINGLE UNIT DWELLING"
500000,"SINGLE UNIT DWELLING"
200000,"TWO UNIT DWELLING"
120000,"PLACE OF WORSHIP"
30000,"MULTI COMMERCIAL"
200000,"TWO UNIT DWELLING"
40000,"SINGLE UNIT DWELLING"
200000,"TWO UNIT DWELLING"
200000,"SINGLE UNIT DWELLING"
300000,"TWO UNIT DWELLING"
300000,"TWO UNIT DWELLING"
300000,"TWO UNIT DWELLING"
200000,"SINGLE UNIT DWELLING"
200000,"SINGLE UNIT DWELLING"
200000,"SINGLE UNIT DWELLING"
50000,"MULTI COMMERCIAL"
145000,"SINGLE UNIT DWELLING"
300000,"SINGLE UNIT DWELLING"
22000,"ACCESSORY BUILDING"
98000,"MULTI-UNIT DWELLING"
20000,"SINGLE UNIT DWELLING"
21000000,"RECREATION FACILITY"
2000,"MOBILE HOME"
80000,OFFICE
0,OFFICE
0,OFFICE
360000,TOWNHOUSE
360000,"TWO UNIT DWELLING"
40000,"OTHER SERVICE"
141000,"MOBILE HOME"
150000,"SINGLE UNIT DWELLING"
75000,"MOBILE HOME"
40000,"MIXED RES/COMM"
13923586,"MULTI-UNIT DWELLING"
300000,"TWO UNIT DWELLING"
20000,"SINGLE UNIT DWELLING"
30000,"ACCESSORY BUILDING"
325000,"SINGLE UNIT DWELLING"
152056,"MOBILE HOME"
5000,"SINGLE UNIT DWELLING"
350000,"SINGLE UNIT DWELLING"
160000,"SINGLE UNIT DWELLING"
10000,"ACCESSORY BUILDING"
30000,"SINGLE UNIT DWELLING"
35000,"SINGLE UNIT DWELLING"
65000,OFFICE
250000,"TWO UNIT DWELLING"
175000,"MULTI-UNIT DWELLING"
500000,"SINGLE UNIT DWELLING"
270000,"SINGLE UNIT DWELLING"
1000,"SINGLE UNIT DWELLING"
0,OFFICE
0,"MULTI COMMERCIAL"
200000,"TWO UNIT DWELLING"
200000,"TWO UNIT DWELLING"
250000,"SINGLE UNIT DWELLING"
850000,"SINGLE UNIT DWELLING"
250000,"SINGLE UNIT DWELLING"
0,OFFICE
360000,"SINGLE UNIT DWELLING"
60000,"ACCESSORY BUILDING"
100,"SINGLE UNIT DWELLING"
240000,"SINGLE UNIT DWELLING"
370000,"SINGLE UNIT DWELLING"
160000,"SINGLE UNIT DWELLING"
250000,"TWO UNIT DWELLING"
215490,"GAS STATION"
45000,"SINGLE UNIT DWELLING"
75000,"SINGLE UNIT DWELLING"
157680,"MOBILE HOME"
15000,"MULTI-UNIT DWELLING"
28000,"SINGLE UNIT DWELLING"
180000,"SINGLE UNIT DWELLING"
6000,"MULTI-UNIT DWELLING"
15000,"ACCESSORY BUILDING"
98000,WAREHOUSE
5000,"ACCESSORY BUILDING"
72000,"SINGLE UNIT DWELLING"
1000,"MULTI-UNIT DWELLING"
275000,"SINGLE UNIT DWELLING"
185000,"SINGLE UNIT DWELLING"
30000,"ACCESSORY BUILDING"
400000,"SINGLE UNIT DWELLING"
300000,"SINGLE UNIT DWELLING"
200000,"SINGLE UNIT DWELLING"
1500,"MULTI COMMERCIAL"
30000,"ACCESSORY BUILDING"
0,"SINGLE UNIT DWELLING"
9000,"MULTI-UNIT DWELLING"
0,"PLACE OF WORSHIP"
515000,"SINGLE UNIT DWELLING"
16000,"ACCESSORY BUILDING"
7500,"SINGLE UNIT DWELLING"
4000,"SINGLE UNIT DWELLING"
13000,"ACCESSORY BUILDING"
7000,"ACCESSORY BUILDING"
50000,"MOBILE HOME"
350000,"SINGLE UNIT DWELLING"
0,"MULTI COMMERCIAL"
360000,"TWO UNIT DWELLING"
0,"SINGLE UNIT DWELLING"
115000,"MULTI-UNIT DWELLING"
120000,"SINGLE UNIT DWELLING"
18000,"ACCESSORY BUILDING"
180000,"SINGLE UNIT DWELLING"
9500,"ACCESSORY BUILDING"
200000,"SINGLE UNIT DWELLING"
17000,"ACCESSORY BUILDING"
4500,SUPERMARKET
300000,"SINGLE UNIT DWELLING"
200000,"SINGLE UNIT DWELLING"
135000,"SINGLE UNIT DWELLING"
250000,"SINGLE UNIT DWELLING"
12632,OFFICE
30000,"ACCESSORY BUILDING"
4000,"ACCESSORY BUILDING"
4000,"SINGLE UNIT DWELLING"
2500,"SINGLE UNIT DWELLING"
6000,"SINGLE UNIT DWELLING"
250000,"SINGLE UNIT DWELLING"
2500,"SINGLE UNIT DWELLING"
40000,"MULTI COMMERCIAL"
16000,"ACCESSORY BUILDING"
20000,"ACCESSORY BUILDING"
10000,"ACCESSORY BUILDING"
21000,"SINGLE UNIT DWELLING"
600000,"SINGLE UNIT DWELLING"
27000,"SINGLE UNIT DWELLING"
160000,"SINGLE UNIT DWELLING"
250000,"SINGLE UNIT DWELLING"
1497000,"MINING FACILITY"
6000,OFFICE
170000,"SINGLE UNIT DWELLING"
175000,"SINGLE UNIT DWELLING"
100,"SINGLE UNIT DWELLING"
0,"REPAIR GARAGE"
260000,"SINGLE UNIT DWELLING"
947000,"SINGLE UNIT DWELLING"
400000,"MULTI COMMERCIAL"
250000,"TWO UNIT DWELLING"
35000,"TWO UNIT DWELLING"
5000,"ACCESSORY BUILDING"
0,WAREHOUSE
100000,BAR/RESTAURANT
0,"MULTI COMMERCIAL"
25000,"SINGLE UNIT DWELLING"
85000,"MIXED RES/COMM"
220000,"SINGLE UNIT DWELLING"
16000,"ACCESSORY BUILDING"
44000,"SINGLE UNIT DWELLING"
9000,"SINGLE UNIT DWELLING"
500000,"SINGLE UNIT DWELLING"
0,"MULTI-UNIT DWELLING"
178000,"SINGLE UNIT DWELLING"
15000,"ACCESSORY BUILDING"
20000,"ACCESSORY BUILDING"
40000,"SINGLE UNIT DWELLING"
1000,"ACCESSORY BUILDING"
764152,OFFICE
138500,"MOBILE HOME"
250000,"TWO UNIT DWELLING"
5000,"AGRICULTURE FACILITY"
38000,BAR/RESTAURANT
6000,OFFICE
5000,"MOBILE HOME"
45000,"SINGLE UNIT DWELLING"
500000,"SINGLE UNIT DWELLING"
250000,"SINGLE UNIT DWELLING"
60000,"TWO UNIT DWELLING"
325000,"SINGLE UNIT DWELLING"
375000,"SINGLE UNIT DWELLING"
15500,"ACCESSORY BUILDING"
50000,"SINGLE UNIT DWELLING"
34000,"ACCESSORY BUILDING"
225000,OFFICE
10000,OFFICE
58000,"MULTI COMMERCIAL"
200000,"SINGLE UNIT DWELLING"
0,BAR/RESTAURANT
15000,"SINGLE UNIT DWELLING"
18000,"ACCESSORY BUILDING"
450000,"SINGLE UNIT DWELLING"
1300,"SINGLE UNIT DWELLING"
4000,"SINGLE UNIT DWELLING"
10000,"TWO UNIT DWELLING"
230000,"SINGLE UNIT DWELLING"
220000,"SINGLE UNIT DWELLING"
100000,"TWO UNIT DWELLING"
0,"PERSONAL SERVICE"
16000,"ACCESSORY BUILDING"
20000,"SINGLE UNIT DWELLING"
25000,"ACCESSORY BUILDING"
27318,"SINGLE UNIT DWELLING"
300000,"SINGLE UNIT DWELLING"
100000,"ACCESSORY BUILDING"
250000,"SINGLE UNIT DWELLING"
250000,"SINGLE UNIT DWELLING"
300000,"SINGLE UNIT DWELLING"
250000,"TWO UNIT DWELLING"
400000,"SINGLE UNIT DWELLING"
15200,"ACCESSORY BUILDING"
0,"REPAIR GARAGE"
0,"SINGLE UNIT DWELLING"
45000,"SINGLE UNIT DWELLING"
296000,"SINGLE UNIT DWELLING"
200000,"SINGLE UNIT DWELLING"
20000,"ACCESSORY BUILDING"
600000,"SINGLE UNIT DWELLING"
190000,OFFICE
5293,"SINGLE UNIT DWELLING"
9500000,"COMMUNITY CENTRE"
87000,"SINGLE UNIT DWELLING"
9000,"ACCESSORY BUILDING"
5000,"MOBILE HOME"
15000,"ACCESSORY BUILDING"
200000,"SINGLE UNIT DWELLING"
15000,"SINGLE UNIT DWELLING"
35000,BAR/RESTAURANT
0,"REPAIR GARAGE"
250000,"TWO UNIT DWELLING"
2000,"SINGLE UNIT DWELLING"
0,"MIXED RES/COMM"
150000,"SINGLE UNIT DWELLING"
160000,"SINGLE UNIT DWELLING"
150000,"SINGLE UNIT DWELLING"
4000,"TWO UNIT DWELLING"
126000,"MOBILE HOME"
16000,"SINGLE UNIT DWELLING"
16000,BAR/RESTAURANT
300000,"SINGLE UNIT DWELLING"
20000,"ACCESSORY BUILDING"
10000,"ACCESSORY BUILDING"
330000,"SINGLE UNIT DWELLING"
50000,"SINGLE UNIT DWELLING"
300000,"SINGLE UNIT DWELLING"
250000,"TWO UNIT DWELLING"
250000,"SINGLE UNIT DWELLING"
2000,"SHOPPING CENTRE"
6000,"ACCESSORY BUILDING"
30000,"SOCIETY HALL"
131800,"AIRPORT TERMINAL"
200000,"SINGLE UNIT DWELLING"
5500,"SINGLE UNIT DWELLING"
750000,"MULTI-UNIT DWELLING"
150000,"SINGLE UNIT DWELLING"
6500,"SINGLE UNIT DWELLING"
250000,"TWO UNIT DWELLING"
500000,"SINGLE UNIT DWELLING"
28000,"ACCESSORY BUILDING"
0,OFFICE
2000,"SINGLE UNIT DWELLING"
20000,BAR/RESTAURANT
92250,"MULTI COMMERCIAL"
250000,"TWO UNIT DWELLING"
6000,"SINGLE UNIT DWELLING"
230000,"SINGLE UNIT DWELLING"
250000,"TWO UNIT DWELLING"
2000,"SINGLE UNIT DWELLING"
250000,"TWO UNIT DWELLING"
20000,"ACCESSORY BUILDING"
250000,"TWO UNIT DWELLING"
230000,"SINGLE UNIT DWELLING"
30000,"ACCESSORY BUILDING"
400000,"OTHER RETAIL"
250000,"TWO UNIT DWELLING"
250000,"TWO UNIT DWELLING"
65000,"SINGLE UNIT DWELLING"
1800,"SINGLE UNIT DWELLING"
250000,"TWO UNIT DWELLING"
250000,"TWO UNIT DWELLING"
100,"SPRAY PAINT OPERATION"
15000,"SINGLE UNIT DWELLING"
15800,"SINGLE UNIT DWELLING"
250000,"TWO UNIT DWELLING"
250000,"TWO UNIT DWELLING"
250000,"TWO UNIT DWELLING"
250000,"TWO UNIT DWELLING"
250000,"TWO UNIT DWELLING"
250000,"TWO UNIT DWELLING"
265000,"SINGLE UNIT DWELLING"
250000,"TWO UNIT DWELLING"
175000,"SINGLE UNIT DWELLING"
85000,OFFICE
20000,"SINGLE UNIT DWELLING"
200000,"SINGLE UNIT DWELLING"
230000,"SINGLE UNIT DWELLING"
200000,"MULTI COMMERCIAL"
200000,"SINGLE UNIT DWELLING"
6000,"ACCESSORY BUILDING"
25000,"ACCESSORY BUILDING"
20000,"ACCESSORY BUILDING"
936000,"MINING FACILITY"
75000,"TWO UNIT DWELLING"
19000,"ACCESSORY BUILDING"
10000,"ACCESSORY BUILDING"
225000,"TWO UNIT DWELLING"
40000,"ACCESSORY BUILDING"
0,"TWO UNIT DWELLING"
40000,"ACCESSORY BUILDING"
30000,"SINGLE UNIT DWELLING"
25000,"ACCESSORY BUILDING"
252000,OFFICE
168702,"MOBILE HOME"
200000,"SINGLE UNIT DWELLING"
0,"MULTI COMMERCIAL"
40000,"SINGLE UNIT DWELLING"
300000,"MULTI-UNIT DWELLING"
101900,WAREHOUSE
305000,OFFICE
120000,"SINGLE UNIT DWELLING"
30000,BAR/RESTAURANT
15000,"ACCESSORY BUILDING"
15500,"SINGLE UNIT DWELLING"
12000,"ACCESSORY BUILDING"
7700,"SINGLE UNIT DWELLING"
250000,"SINGLE UNIT DWELLING"
10000,"ACCESSORY BUILDING"
325000,"SINGLE UNIT DWELLING"
350000,"TWO UNIT DWELLING"
300000,"SINGLE UNIT DWELLING"
50000,"SINGLE UNIT DWELLING"
486750,"MULTI-UNIT DWELLING"
20000,"ACCESSORY BUILDING"
14000,"ACCESSORY BUILDING"
10000,"SINGLE UNIT DWELLING"
1000,"SINGLE UNIT DWELLING"
12000,"ACCESSORY BUILDING"
10000,"ACCESSORY BUILDING"
250000,"TWO UNIT DWELLING"
35000,BANK
3700,"SINGLE UNIT DWELLING"
0,"SINGLE UNIT DWELLING"
300000,"SINGLE UNIT DWELLING"
26500,"ACCESSORY BUILDING"
90000,"MOBILE HOME"
350000,"SINGLE UNIT DWELLING"
380000,"SINGLE UNIT DWELLING"
7700,"SINGLE UNIT DWELLING"
40000,"SINGLE UNIT DWELLING"
1600,"SINGLE UNIT DWELLING"
250000,"SINGLE UNIT DWELLING"
11000,"MULTI COMMERCIAL"
11080,"SINGLE UNIT DWELLING"
220000,"SINGLE UNIT DWELLING"
310000,"TWO UNIT DWELLING"
250000,"SINGLE UNIT DWELLING"
30000,"SINGLE UNIT DWELLING"
39000,"ACCESSORY BUILDING"
100000,"SHOPPING CENTRE"
3000,"ACCESSORY BUILDING"
280000,"SINGLE UNIT DWELLING"
0,"SINGLE UNIT DWELLING"
6000,"MULTI-UNIT DWELLING"
4900,"ACCESSORY BUILDING"
85000,"MULTI COMMERCIAL"
24000,"OTHER SERVICE"
8000000,"RECREATION FACILITY"
21700,"SINGLE UNIT DWELLING"
300000,"SINGLE UNIT DWELLING"
11000,"OTHER SERVICE"
68000,"ACCESSORY BUILDING"
70000,"MIXED RES/COMM"
145000,"SINGLE UNIT DWELLING"
5000,"ACCESSORY BUILDING"
200000,"SINGLE UNIT DWELLING"
3000,"SINGLE UNIT DWELLING"
54000,"OTHER SERVICE"
2000,"SINGLE UNIT DWELLING"
76600,"TWO UNIT DWELLING"
90000,"SINGLE UNIT DWELLING"
30000,"SINGLE UNIT DWELLING"
200000,"SINGLE UNIT DWELLING"
33000,"ACCESSORY BUILDING"
13000,"ACCESSORY BUILDING"
10000,"ACCESSORY BUILDING"
50000,"ACCESSORY BUILDING"
55000,"MIXED RES/COMM"
300000,"SINGLE UNIT DWELLING"
80000,"ACCESSORY BUILDING"
150000,"SINGLE UNIT DWELLING"
43000,"MULTI-UNIT DWELLING"
6000,"ACCESSORY BUILDING"
190000,"SINGLE UNIT DWELLING"
19800,"ACCESSORY BUILDING"
87000,WAREHOUSE
200000,"SINGLE UNIT DWELLING"
300000,"SINGLE UNIT DWELLING"
50000,UNKNOWN
40000,"SINGLE UNIT DWELLING"
500000,"SINGLE UNIT DWELLING"
19600,"ACCESSORY BUILDING"
20000,"MULTI COMMERCIAL"
17000,"ACCESSORY BUILDING"
30000,"ACCESSORY BUILDING"
20256,"ACCESSORY BUILDING"
16000,"ACCESSORY BUILDING"
14000,"ACCESSORY BUILDING"
0,"OTHER RETAIL"
10000,"STRIP MALL"
2500,"OTHER RETAIL"
50000,"SINGLE UNIT DWELLING"
5000,"ACCESSORY BUILDING"
4200,"SINGLE UNIT DWELLING"
20000,"TWO UNIT DWELLING"
1000,"MULTI-UNIT DWELLING"
160000,"MULTI-UNIT DWELLING"
30000,"SINGLE UNIT DWELLING"
55000,"SINGLE UNIT DWELLING"
15000,"MIXED RES/COMM"
1500,BAR/RESTAURANT
65000,"SHOPPING CENTRE"
200000,"SINGLE UNIT DWELLING"
300000,"SINGLE UNIT DWELLING"
150000,"SINGLE UNIT DWELLING"
100000,"MOBILE HOME"
100000,"MOBILE HOME"
100000,"MOBILE HOME"
10000,"ACCESSORY BUILDING"
10000,"SINGLE UNIT DWELLING"
300000,"SINGLE UNIT DWELLING"
1065000,"RECREATION FACILITY"
25000,"SINGLE UNIT DWELLING"
1000,"MOBILE HOME"
200000,"SINGLE UNIT DWELLING"
46000,"ACCESSORY BUILDING"
30000,"MIXED RES/COMM"
44000,"SINGLE UNIT DWELLING"
10000,"MULTI COMMERCIAL"
400000,BANK
2000,"SINGLE UNIT DWELLING"
280000,"SINGLE UNIT DWELLING"
19500,"ACCESSORY BUILDING"
7500,"SINGLE UNIT DWELLING"
300000,"SINGLE UNIT DWELLING"
26000,"SINGLE UNIT DWELLING"
500,"ACCESSORY BUILDING"
3000,"ACCESSORY BUILDING"
562100,"MULTI COMMERCIAL"
30000,"SINGLE UNIT DWELLING"
50000,"MULTI-UNIT DWELLING"
23000,"SINGLE UNIT DWELLING"
6000,"SINGLE UNIT DWELLING"
15000,"SINGLE UNIT DWELLING"
6000,"SINGLE UNIT DWELLING"
11000,"MOBILE HOME"
0,"MULTI COMMERCIAL"
280000,"SINGLE UNIT DWELLING"
20000,"PLACE OF WORSHIP"
25000,"SINGLE UNIT DWELLING"
20000,"ACCESSORY BUILDING"
25000,"SINGLE UNIT DWELLING"
160000,"SINGLE UNIT DWELLING"
27200,"OTHER SERVICE"
8000,"ACCESSORY BUILDING"
55000,"SINGLE UNIT DWELLING"
8000,"SINGLE UNIT DWELLING"
25000,"TWO UNIT DWELLING"
240000,"SINGLE UNIT DWELLING"
10000,"SINGLE UNIT DWELLING"
175000,"SINGLE UNIT DWELLING"
363000,WAREHOUSE
84000,"TWO UNIT DWELLING"
20000,"SINGLE UNIT DWELLING"
150000,"SINGLE UNIT DWELLING"
2000,"TWO UNIT DWELLING"
0,"MULTI COMMERCIAL"
40000,"SINGLE UNIT DWELLING"
68000,"MOBILE HOME"
200000,"SINGLE UNIT DWELLING"
17000,"ACCESSORY BUILDING"
21000,"ACCESSORY BUILDING"
14200,"SINGLE UNIT DWELLING"
100000,"MIXED RES/COMM"
21200,"ACCESSORY BUILDING"
20000,"ACCESSORY BUILDING"
10000,"ACCESSORY BUILDING"
16000,"ACCESSORY BUILDING"
12000,"SINGLE UNIT DWELLING"
2714425,"MULTI COMMERCIAL"
62000,"MULTI COMMERCIAL"
53000,"SINGLE UNIT DWELLING"
10000,"MULTI COMMERCIAL"
30000,"SINGLE UNIT DWELLING"
100000,"SINGLE UNIT DWELLING"
85000,"SINGLE UNIT DWELLING"
300000,"SINGLE UNIT DWELLING"
80000,"SINGLE UNIT DWELLING"
8000,"SINGLE UNIT DWELLING"
18000,"ACCESSORY BUILDING"
165000,"SINGLE UNIT DWELLING"
140000,"MULTI-UNIT DWELLING"
1000,"ACCESSORY BUILDING"
12587,"SINGLE UNIT DWELLING"
25000,"SINGLE UNIT DWELLING"
9200,"SINGLE UNIT DWELLING"
180000,"ACCESSORY BUILDING"
170000,"SINGLE UNIT DWELLING"
1500,"SINGLE UNIT DWELLING"
900000,"SINGLE UNIT DWELLING"
2000000,"MULTI COMMERCIAL"
1000,"TWO UNIT DWELLING"
180000,"SINGLE UNIT DWELLING"
100000,"SINGLE UNIT DWELLING"
15000,"TWO UNIT DWELLING"
4000,"ACCESSORY BUILDING"
55000,"MULTI-UNIT DWELLING"
51000,OFFICE
5000,"SINGLE UNIT DWELLING"
60000,"MULTI-UNIT DWELLING"
12300,"SINGLE UNIT DWELLING"
20000,"SINGLE UNIT DWELLING"
100000,OFFICE
80000,BAR/RESTAURANT
33800,"ACCESSORY BUILDING"
6000,"SINGLE UNIT DWELLING"
15000,"ACCESSORY BUILDING"
153000,"REPAIR GARAGE"
102000,"NURSING HOME"
50000,"SINGLE UNIT DWELLING"
325000,"SINGLE UNIT DWELLING"
500,"SINGLE UNIT DWELLING"
25000,"SINGLE UNIT DWELLING"
50000,"ACCESSORY BUILDING"
320000,"SINGLE UNIT DWELLING"
2000,"ACCESSORY BUILDING"
250000,"SINGLE UNIT DWELLING"
10000,"SINGLE UNIT DWELLING"
8000,"SINGLE UNIT DWELLING"
10000,"MOBILE HOME"
5000,"PLACE OF WORSHIP"
20000,"ACCESSORY BUILDING"
18696,"ACCESSORY BUILDING"
16000,"ACCESSORY BUILDING"
300000,"SINGLE UNIT DWELLING"
120000,OFFICE
4000,"ACCESSORY BUILDING"
40000,"SINGLE UNIT DWELLING"
6800,"COMMUNITY CENTRE"
3500,"SINGLE UNIT DWELLING"
0,"SINGLE UNIT DWELLING"
5500000,"MIXED RES/COMM"
18000,"SINGLE UNIT DWELLING"
60000,"ACCESSORY BUILDING"
150000,"SINGLE UNIT DWELLING"
